City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.99,light rain,3.07,172.79,Isles Sunset Lodge
2,Atuona,PF,78.35,clear sky,-9.8,-139.03,Villa Enata
5,Kapaa,US,78.78,few clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
6,Panalingaan,PH,83.89,moderate rain,8.78,117.42,I Love Panalingaan View Deck
8,Vaini,TO,80.31,clear sky,-21.2,-175.2,Keleti Beach Resort
12,Kaeo,NZ,77.32,clear sky,-35.1,173.78,Bushido Lodge
16,Rikitea,PF,78.19,light rain,-23.12,-134.97,People ThankYou
24,Broken Hill,AU,89.31,scattered clouds,-31.95,141.43,Daydream Motel & Cottages
25,Nabire,ID,83.08,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
33,Vila Velha,BR,75.15,few clouds,-20.33,-40.29,Quality Suites Vila Velha
37,Tevaitoa,PF,80.98,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
38,Georgetown,MY,82.33,haze,5.41,100.34,Cititel Penang
45,Sambava,MG,75.13,light rain,-14.27,50.17,Melrose
50,Cayenne,GF,79.09,broken clouds,4.93,-52.33,Hôtel Le Dronmi
54,Quelimane,MZ,75.04,light rain,-17.88,36.89,Hotel Flamingo
55,Carutapera,BR,76.6,broken clouds,-1.2,-46.02,Lidera
59,Avarua,CK,80.65,broken clouds,-21.21,-159.78,Paradise Inn
60,Luganville,VU,86.67,overcast clouds,-15.53,167.17,The Espiritu Hotel
61,Mahebourg,MU,75.49,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
62,Namatanai,PG,85.87,broken clouds,-3.67,152.43,Seagulls Inn Namatani
72,Pochutla,MX,79.65,clear sky,15.74,-96.47,Hotel Posada San Jose
76,Porto Novo,BJ,75.02,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
83,Santa Isabel,BR,76.37,scattered clouds,-23.32,-46.22,Chácara Sombra do Altíssimo
84,Sao Jose Da Coroa Grande,BR,79.54,scattered clouds,-8.9,-35.15,Crôa Mares Hotel
85,Touros,BR,79.7,overcast clouds,-5.2,-35.46,INN NEW HORIZON
88,Kavaratti,IN,77.54,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
90,Bengkulu,ID,80.49,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
94,Amahai,ID,89.11,broken clouds,-3.33,128.92,HOTEL ISABELA
95,Mandurah,AU,79.16,clear sky,-32.55,115.7,Atrium Hotel Mandurah
100,Vanimo,PG,85.5,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
101,Tual,ID,84.49,overcast clouds,-5.67,132.75,Grand Vilia Hotel
109,Mar Del Plata,AR,76.08,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata
111,Dicabisagan,PH,75.79,overcast clouds,17.08,122.42,Nancy Montanes Bernardo
115,Tautira,PF,87.82,light rain,-17.73,-149.15,Pension Oaoa
126,Cidreira,BR,77.29,overcast clouds,-30.18,-50.21,Hotel Castelo
128,Faanui,PF,81.07,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
133,Arraial Do Cabo,BR,75.31,clear sky,-22.97,-42.03,Pousada Porto Praia
136,Geraldton,AU,86.41,clear sky,-28.77,114.6,Broadwater Mariner Resort
145,Karratha,AU,88.61,clear sky,-20.74,116.85,ibis Styles Karratha
