City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.07,172.79,81.99,79,36,16.71,light rain
1,Cape Town,ZA,-33.93,18.42,66.61,81,0,5.99,clear sky
2,Atuona,PF,-9.8,-139.03,78.35,76,3,15.95,clear sky
3,Bluff,NZ,-46.6,168.33,55.8,76,98,21.07,overcast clouds
4,Tuktoyaktuk,CA,69.45,-133.04,14.0,92,100,36.82,light snow
5,Kapaa,US,22.08,-159.32,78.78,68,20,3.0,few clouds
6,Panalingaan,PH,8.78,117.42,83.89,73,86,11.07,moderate rain
7,Albany,US,42.6,-73.97,22.26,74,14,6.44,few clouds
8,Vaini,TO,-21.2,-175.2,80.31,70,10,12.75,clear sky
9,Bow Island,CA,49.87,-111.37,39.58,58,100,0.0,overcast clouds
10,Agadez,NE,19.75,10.25,50.05,35,15,10.38,few clouds
11,Port Elizabeth,ZA,-33.92,25.57,69.1,83,100,10.36,overcast clouds
12,Kaeo,NZ,-35.1,173.78,77.32,90,3,10.29,clear sky
13,Victoria,HK,22.29,114.16,69.85,83,99,1.01,overcast clouds
14,Thompson,CA,55.74,-97.86,-5.64,71,100,11.5,overcast clouds
15,Busselton,AU,-33.65,115.33,69.04,43,14,7.81,few clouds
16,Rikitea,PF,-23.12,-134.97,78.19,76,100,16.96,light rain
17,Codrington,AU,-38.27,141.97,94.03,28,74,4.85,broken clouds
18,Vidim,RU,56.41,103.11,1.83,95,98,3.06,overcast clouds
19,Kaitangata,NZ,-46.28,169.85,57.92,71,99,5.75,overcast clouds
20,Lata,PT,40.16,-8.33,48.81,84,4,5.17,clear sky
21,Provideniya,RU,64.38,-173.3,-6.65,59,20,4.47,few clouds
22,Esperance,AU,-33.87,121.9,69.64,72,73,14.67,broken clouds
23,Paraisopolis,BR,-22.55,-45.78,69.51,94,23,0.98,few clouds
24,Broken Hill,AU,-31.95,141.43,89.31,37,40,8.05,scattered clouds
25,Nabire,ID,-3.37,135.48,83.08,83,97,3.58,overcast clouds
26,Soverato,IT,38.69,16.55,34.9,70,4,10.18,clear sky
27,Dunedin,NZ,-45.87,170.5,55.8,92,100,8.99,overcast clouds
28,Jamestown,US,42.1,-79.24,16.92,47,100,3.44,overcast clouds
29,Saint-Philippe,RE,-21.36,55.77,74.75,66,97,11.3,overcast clouds
30,Punta Arenas,CL,-53.15,-70.92,46.42,61,0,14.97,clear sky
31,Mataura,NZ,-46.19,168.86,55.47,98,100,6.62,overcast clouds
32,Ponta Do Sol,PT,32.67,-17.1,61.43,53,37,8.21,scattered clouds
33,Vila Velha,BR,-20.33,-40.29,75.15,93,20,4.61,few clouds
34,Hovd,MN,48.01,91.64,-8.39,76,2,2.64,clear sky
35,Fukue,JP,32.69,128.84,52.16,66,40,11.5,scattered clouds
36,Las Vegas,US,36.17,-115.14,56.08,25,0,10.36,clear sky
37,Tevaitoa,PF,-16.78,-151.5,80.98,76,88,14.05,light rain
38,Georgetown,MY,5.41,100.34,82.33,83,20,3.0,haze
39,Hermanus,ZA,-34.42,19.23,66.79,87,97,12.86,overcast clouds
40,Bredasdorp,ZA,-34.53,20.04,66.27,88,100,3.44,overcast clouds
41,Ushuaia,AR,-54.8,-68.3,42.46,75,40,24.16,light intensity drizzle
42,Fortuna Foothills,US,32.66,-114.41,64.49,23,20,1.01,few clouds
43,Norman Wells,CA,65.28,-126.83,35.91,82,100,18.9,overcast clouds
44,Cottonwood,US,34.74,-112.01,49.3,34,3,5.41,clear sky
45,Sambava,MG,-14.27,50.17,75.13,86,100,8.9,light rain
46,Boden,SE,65.83,21.69,19.4,90,100,3.69,overcast clouds
47,Yellowknife,CA,62.46,-114.35,0.41,89,40,8.05,scattered clouds
48,Caldwell,US,43.66,-116.69,32.14,86,100,9.22,overcast clouds
49,Dikson,RU,73.51,80.55,10.74,90,100,30.87,light snow
50,Cayenne,GF,4.93,-52.33,79.09,87,75,4.0,broken clouds
51,Saint-Pierre,RE,-21.34,55.48,74.84,73,75,6.91,broken clouds
52,Bathsheba,BB,13.22,-59.52,74.01,88,40,6.91,scattered clouds
53,Salalah,OM,17.02,54.09,62.69,39,0,2.3,clear sky
54,Quelimane,MZ,-17.88,36.89,75.04,94,100,9.71,light rain
55,Carutapera,BR,-1.2,-46.02,76.6,89,62,5.97,broken clouds
56,Tarauaca,BR,-8.16,-70.77,72.84,98,99,1.05,overcast clouds
57,Ancud,CL,-41.87,-73.82,58.53,86,3,2.13,clear sky
